#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
0 0.02 -0.000001 0.000100 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000002 0.000200 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000003 0.000300 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000004 0.000400 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000005 0.000500 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000006 0.000600 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000007 0.000700 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000008 0.000800 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000009 0.000900 0.000000 0.100000 3.590266 -0.004503 0.000000 0
0 0.02 -0.000010 0.001000 0.000000 0.100000 3.590266 -0.004503 0.000000 0
1 0.02 0.000358 0.001029 0.000116 0.122574 3.590266 -0.004503 0.000000 0
1 0.02 0.000686 0.001059 0.000231 0.142947 3.590114 -0.004501 0.000000 0
1 0.02 0.000955 0.001087 0.000347 0.160131 3.589810 -0.004498 0.000000 0
1 0.02 0.001151 0.001115 0.000462 0.173512 3.589354 -0.004494 0.000000 0
1 0.02 0.001265 0.001143 0.000577 0.183099 3.588745 -0.004488 0.000000 0
1 0.02 0.001293 0.001170 0.000692 0.190179 3.587984 -0.004480 0.000000 0
1 0.02 0.001238 0.001196 0.000807 0.197771 3.587069 -0.004471 0.000000 0
1 0.02 0.001106 0.001222 0.000921 0.208076 3.585999 -0.004460 0.000000 0
1 0.02 0.000909 0.001247 0.001035 0.221428 3.584775 -0.004448 0.000000 0
1 0.02 0.000663 0.001272 0.001148 0.237317 3.583396 -0.004434 0.000000 0
1 0.02 0.000385 0.001298 0.001261 0.254882 3.581859 -0.004419 0.000000 0
1 0.02 0.000095 0.001324 0.001374 0.273123 3.580166 -0.004402 0.000000 0
1 0.02 -0.000189 0.001350 0.001486 0.291020 3.578314 -0.004383 0.000000 0
1 0.02 -0.000449 0.001378 0.001598 0.307625 3.576302 -0.004363 0.000000 0
1 0.02 -0.000671 0.001406 0.001709 0.322156 3.574130 -0.004341 0.000000 0
1 0.02 -0.000840 0.001435 0.001819 0.334092 3.571797 -0.004318 0.000000 0
1 0.02 -0.000950 0.001466 0.001928 0.343327 3.569300 -0.004293 0.000000 0
1 0.02 -0.000996 0.001498 0.002037 0.350472 3.566641 -0.004267 0.000000 0
1 0.02 -0.000978 0.001532 0.002145 0.357161 3.563816 -0.004238 0.000000 0
1 0.02 -0.000900 0.001567 0.002253 0.365168 3.560827 -0.004208 0.000000 0
1 0.02 -0.000769 0.001603 0.002359 0.375217 3.557671 -0.004177 0.000000 0
1 0.02 -0.000597 0.001641 0.002465 0.387201 3.554348 -0.004144 0.000000 0
1 0.02 -0.000396 0.001679 0.002569 0.400620 3.550858 -0.004109 0.000000 0
1 0.02 -0.000181 0.001719 0.002673 0.414792 3.547200 -0.004072 0.000000 0
1 0.02 0.000036 0.001760 0.002776 0.428979 3.543375 -0.004034 0.000000 0
1 0.02 0.000239 0.001802 0.002877 0.442470 3.539382 -0.003994 0.000000 0
1 0.02 0.000417 0.001845 0.002978 0.454656 3.535222 -0.003952 0.000000 0
1 0.02 0.000559 0.001888 0.003077 0.465106 3.530896 -0.003909 0.000000 0
1 0.02 0.000659 0.001932 0.003176 0.473665 3.526405 -0.003864 0.000000 0
1 0.02 0.000711 0.001976 0.003273 0.480614 3.521751 -0.003818 0.000000 0
1 0.02 0.000714 0.002022 0.003369 0.486821 3.516935 -0.003769 0.000000 0
1 0.02 0.000671 0.002068 0.003464 0.493474 3.511961 -0.003720 0.000000 0
1 0.02 0.000587 0.002115 0.003558 0.501345 3.506831 -0.003668 0.000000 0
1 0.02 0.000467 0.002162 0.003651 0.510593 3.501550 -0.003616 0.000000 0
1 0.02 0.000322 0.002211 0.003742 0.520989 3.496120 -0.003561 0.000000 0
