#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
0 0.05 0.005019670997168271 1.800353019363281e-05 2.0691720131057632e-05 0.0 3.14159265 -0.0 0.0 0
1 0.052094840162250244 0.0050240420977282745 0.00012199981966778858 2.5291148532884877e-05 0.00522449 3.13897465 0.0 0.0 0
1 0.051760290010445076 0.005027748822858292 0.00022538031091466108 2.9195595513870903e-05 0.01044898 3.13635665 0.0 0.0 0
1 0.05131934366160285 0.005030573619987578 0.00032793664324215466 3.218212462671376e-05 0.01567347 3.13373865 0.0 0.0 0
1 0.050882760762639506 0.005032526582757406 0.00042966195294214004 3.427226198434404e-05 0.02089796 3.13112065 0.0 0.0 0
1 0.05052593227636089 0.005033786730926702 0.0005306962820126075 3.567072737667311e-05 0.02612245 3.12850265 0.0 0.0 0
1 0.05027522514285531 0.005034602402050244 0.000631238579735221 3.665769340178164e-05 0.03134694 3.12588465 0.0 0.0 0
1 0.05011979271476006 0.0050352007005399916 0.0007314729597396885 3.748569770082937e-05 0.03657143 3.12326665 0.0 0.0 0
1 0.05003218995707698 0.005035732674315157 0.0008315325239275536 3.831077105585711e-05 0.04179592 3.12064865 0.0 0.0 0
1 0.04998489610874741 0.00503625685313465 0.0009314972833425254 3.916602989449792e-05 0.04702041 3.11803065 0.0 0.0 0
1 0.04995859385274984 0.005036753152877201 0.0010314099493652104 3.9976741792163635e-05 0.0522449 3.11541265 0.0 0.0 0
1 0.049943865967307634 0.00503715715467465 0.0011312948549730912 4.061030733255956e-05 0.05746939 3.11279465 0.0 0.0 0
1 0.04993930263994866 0.005037402649551596 0.0012311725999867617 4.094433713229087e-05 0.06269388 3.11017665 0.0 0.0 0
1 0.04994790143691212 0.005037457536041544 0.0013310683861376806 4.0926210658272016e-05 0.06791837 3.10755865 0.0 0.0 0
1 0.04997455573019448 0.005037342210693803 0.0014310169020044852 4.0601006401646736e-05 0.07314286 3.10494065 0.0 0.0 0
1 0.05002178262303093 0.005037120562457127 0.0015310589303700974 4.0092695771946956e-05 0.07836735 3.10232265 0.0 0.0 0
1 0.05008885098640261 0.005036877095523667 0.001631234911505247 3.9558373757934016e-05 0.08359184 3.09970465 0.0 0.0 0
1 0.05016877753040238 0.005036690044936856 0.0017315714129373671 3.913831659501209e-05 0.08881633 3.09708665 0.0 0.0 0
1 0.05024675383086455 0.005036614933279086 0.0018320646736645647 3.8928581494528016e-05 0.09404082 3.09446865 0.0 0.0 0
1 0.05030153082299739 0.005036685227599193 0.0019326676933337692 3.898778195094905e-05 0.09926531 3.09185065 0.0 0.0 0
1 0.050311261934689856 0.0050369268343574735 0.002033289204987876 3.9369001652348446e-05 0.1044898 3.08923265 0.0 0.0 0
1 0.050262716521663794 0.005037372136808138 0.00213381064413579 4.014660431958308e-05 0.10971429 3.08661465 0.0 0.0 0
1 0.05015978446119631 0.005038054801565967 0.002234120041289298 4.1401482920481374e-05 0.11493878 3.08399665 0.0 0.0 0
