#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
0 0.05 0.005 0.0 0.0 0.0 3.14159265 -0.0 0.0 0
1 0.05 0.005 0.0001 0.0 0.00522449 3.13897465 0.0 0.0 0
1 0.05 0.005 0.0002 0.0 0.01044898 3.13635665 0.0 0.0 0
1 0.05 0.005 0.0003 0.0 0.01567347 3.13373865 0.0 0.0 0
1 0.05 0.005 0.0004 0.0 0.02089796 3.13112065 0.0 0.0 0
1 0.05 0.005 0.0005 0.0 0.02612245 3.12850265 0.0 0.0 0
1 0.05 0.005 0.0006 0.0 0.03134694 3.12588465 0.0 0.0 0
1 0.05 0.005 0.0007 0.0 0.03657143 3.12326665 0.0 0.0 0
1 0.05 0.005 0.0008 0.0 0.04179592 3.12064865 0.0 0.0 0
1 0.05 0.005 0.0009 0.0 0.04702041 3.11803065 0.0 0.0 0
1 0.05 0.005 0.001 0.0 0.0522449 3.11541265 0.0 0.0 0
1 0.05 0.005 0.0011 0.0 0.05746939 3.11279465 0.0 0.0 0
1 0.05 0.005 0.0012 0.0 0.06269388 3.11017665 0.0 0.0 0
1 0.05 0.005 0.0013 0.0 0.06791837 3.10755865 0.0 0.0 0
1 0.05 0.005 0.0014 0.0 0.07314286 3.10494065 0.0 0.0 0
1 0.05 0.005 0.0015 0.0 0.07836735 3.10232265 0.0 0.0 0
1 0.05 0.005 0.0016 0.0 0.08359184 3.09970465 0.0 0.0 0
1 0.05 0.005 0.0017 0.0 0.08881633 3.09708665 0.0 0.0 0
1 0.05 0.005 0.0018 0.0 0.09404082 3.09446865 0.0 0.0 0
1 0.05 0.005 0.0019 0.0 0.09926531 3.09185065 0.0 0.0 0
1 0.05 0.005 0.002 0.0 0.1044898 3.08923265 0.0 0.0 0
1 0.05 0.005 0.0021 0.0 0.10971429 3.08661465 0.0 0.0 0
1 0.05 0.005 0.0022 0.0 0.11493878 3.08399665 0.0 0.0 0
1 0.05 0.005 0.0023 0.0 0.12016327 3.08137865 0.0 0.0 0
1 0.05 0.005 0.0024 0.0 0.12538776 3.07876065 0.0 0.0 0
1 0.05 0.005 0.0025 0.0 0.13061225 3.07614265 0.0 0.0 0
1 0.05 0.005 0.0026 0.0 0.13583673 3.07352465 0.0 0.0 0
1 0.05 0.005 0.0027 0.0 0.14106122 3.07090665 0.0 0.0 0
1 0.05 0.005 0.0028 0.0 0.14628571 3.06828865 0.0 0.0 0
1 0.05 0.005 0.0029 0.0 0.1515102 3.06567065 0.0 0.0 0
1 0.05 0.005 0.003 0.0 0.15673469 3.06305265 0.0 0.0 0
1 0.05 0.005 0.0031 0.0 0.16195918 3.06043465 0.0 0.0 0
1 0.05 0.005 0.0032 0.0 0.16718367 3.05781665 0.0 0.0 0
1 0.05 0.005 0.0033 0.0 0.17240816 3.05519865 0.0 0.0 0
1 0.05 0.005 0.0034 0.0 0.17763265 3.05258065 0.0 0.0 0
1 0.05 0.005 0.0035 0.0 0.18285714 3.04996265 0.0 0.0 0
1 0.05 0.005 0.0036 0.0 0.18808163 3.04734465 0.0 0.0 0
1 0.05 0.005 0.0037 0.0 0.19330612 3.04472665 0.0 0.0 0
1 0.05 0.005 0.0038 0.0 0.19853061 3.04210865 0.0 0.0 0
1 0.05 0.005 0.0039 0.0 0.2037551 3.03949065 0.0 0.0 0
1 0.05 0.005 0.004 0.0 0.20897959 3.03687265 0.0 0.0 0
1 0.05 0.005 0.0041 0.0 0.21420408 3.03425465 0.0 0.0 0
1 0.05 0.005 0.0042 0.0 0.21942857 3.03163665 0.0 0.0 0
1 0.05 0.005 0.0043 0.0 0.22465306 3.02901865 0.0 0.0 0
1 0.05 0.005 0.0044 0.0 0.22987755 3.02640065 0.0 0.0 0
1 0.05 0.005 0.0045 0.0 0.23510204 3.02378265 0.0 0.0 0
1 0.05 0.005 0.0046 0.0 0.24032653 3.02116465 0.0 0.0 0
1 0.05 0.005 0.0047 0.0 0.24555102 3.01854665 0.0 0.0 0
1 0.05 0.005 0.0048 0.0 0.25077551 3.01592865 0.0 0.0 0
1 0.05 0.005 0.0049 0.0 0.256 3.01331065 0.0 0.0 0
1 0.05 0.005 0.005 0.0 0.26122449 3.01069265 0.0 0.0 0
1 0.05 0.005 0.0051 0.0 0.26644898 3.00807465 0.0 0.0 0
1 0.05 0.005 0.0052 0.0 0.27167347 3.00545665 0.0 0.0 0
1 0.05 0.005 0.0053 0.0 0.27689796 3.00283865 0.0 0.0 0
1 0.05 0.005 0.0054 0.0 0.28212245 3.00022065 0.0 0.0 0
1 0.05 0.005 0.0055 0.0 0.28734694 2.99760265 0.0 0.0 0
1 0.05 0.005 0.0056 0.0 0.29257143 2.99498465 0.0 0.0 0
1 0.05 0.005 0.0057 0.0 0.29779592 2.99236665 0.0 0.0 0
1 0.05 0.005 0.0058 0.0 0.30302041 2.98974865 0.0 0.0 0
1 0.05 0.005 0.0059 0.0 0.3082449 2.98713065 0.0 0.0 0
1 0.05 0.005 0.006 0.0 0.31346939 2.98451265 0.0 0.0 0
1 0.05 0.005 0.0061 0.0 0.31869388 2.98189465 0.0 0.0 0
1 0.05 0.005 0.0062 0.0 0.32391837 2.97927665 0.0 0.0 0
1 0.05 0.005 0.0063 0.0 0.32914286 2.97665865 0.0 0.0 0
1 0.05 0.005 0.0064 0.0 0.33436735 2.97404065 0.0 0.0 0
1 0.05 0.005 0.0065 0.0 0.33959184 2.97142265 0.0 0.0 0
1 0.05 0.005 0.0066 0.0 0.34481633 2.96880465 0.0 0.0 0
1 0.05 0.005 0.0067 0.0 0.35004082 2.96618665 0.0 0.0 0
1 0.05 0.005 0.0068 0.0 0.35526531 2.96356865 0.0 0.0 0
1 0.05 0.005 0.0069 0.0 0.3604898 2.96095065 0.0 0.0 0
1 0.05 0.005 0.007 0.0 0.36571429 2.95833265 0.0 0.0 0
1 0.05 0.005 0.0071 0.0 0.37093878 2.95571465 0.0 0.0 0
1 0.05 0.005 0.0072 0.0 0.37616327 2.95309665 0.0 0.0 0
1 0.05 0.005 0.0073 0.0 0.38138776 2.95047865 0.0 0.0 0
1 0.05 0.005 0.0074 0.0 0.38661225 2.94786065 0.0 0.0 0
1 0.05 0.005 0.0075 0.0 0.39183673 2.94524265 0.0 0.0 0
1 0.05 0.005 0.0076 0.0 0.39706122 2.94262465 0.0 0.0 0
1 0.05 0.005 0.0077 0.0 0.40228571 2.94000665 0.0 0.0 0
1 0.05 0.005 0.0078 0.0 0.4075102 2.93738865 0.0 0.0 0
1 0.05 0.005 0.0079 0.0 0.41273469 2.93477065 0.0 0.0 0
1 0.05 0.005 0.008 0.0 0.41795918 2.93215265 0.0 0.0 0
1 0.05 0.005 0.0081 0.0 0.42318367 2.92953465 0.0 0.0 0
1 0.05 0.005 0.0082 0.0 0.42840816 2.92691665 0.0 0.0 0
1 0.05 0.005 0.0083 0.0 0.43363265 2.92429865 0.0 0.0 0
1 0.05 0.005 0.0084 0.0 0.43885714 2.92168065 0.0 0.0 0
1 0.05 0.005 0.0085 0.0 0.44408163 2.91906265 0.0 0.0 0
1 0.05 0.005 0.0086 0.0 0.44930612 2.91644465 0.0 0.0 0
1 0.05 0.005 0.0087 0.0 0.45453061 2.91382665 0.0 0.0 0
1 0.05 0.005 0.0088 0.0 0.4597551 2.91120865 0.0 0.0 0
1 0.05 0.005 0.0089 0.0 0.46497959 2.90859065 0.0 0.0 0
1 0.05 0.005 0.009 0.0 0.47020408 2.90597265 0.0 0.0 0
1 0.05 0.005 0.0091 0.0 0.47542857 2.90335465 0.0 0.0 0
1 0.05 0.005 0.0092 0.0 0.48065306 2.90073665 0.0 0.0 0
1 0.05 0.005 0.0093 0.0 0.48587755 2.89811865 0.0 0.0 0
1 0.05 0.005 0.0094 0.0 0.49110204 2.89550065 0.0 0.0 0
1 0.05 0.005 0.0095 0.0 0.49632653 2.89288265 0.0 0.0 0
1 0.05 0.005 0.0096 0.0 0.50155102 2.89026465 0.0 0.0 0
1 0.05 0.005 0.0097 0.0 0.50677551 2.88764665 0.0 0.0 0
1 0.05 0.005 0.0098 0.0 0.512 2.88502865 0.0 0.0 0
1 0.05 0.005 0.0099 0.0 0.51722449 2.88241065 0.0 0.0 0
1 0.05 0.005 0.01 0.0 0.52244898 2.87979265 0.0 0.0 0
1 0.05 0.005 0.0101 0.0 0.52767347 2.87717465 0.0 0.0 0
1 0.05 0.005 0.0102 0.0 0.53289796 2.87455665 0.0 0.0 0
1 0.05 0.005 0.0103 0.0 0.53812245 2.87193865 0.0 0.0 0
1 0.05 0.005 0.0104 0.0 0.54334694 2.86932065 0.0 0.0 0
1 0.05 0.005 0.0105 0.0 0.54857143 2.86670265 0.0 0.0 0
1 0.05 0.005 0.0106 0.0 0.55379592 2.86408465 0.0 0.0 0
1 0.05 0.005 0.0107 0.0 0.55902041 2.86146665 0.0 0.0 0
1 0.05 0.005 0.0108 0.0 0.5642449 2.85884865 0.0 0.0 0
1 0.05 0.005 0.0109 0.0 0.56946939 2.85623065 0.0 0.0 0
1 0.05 0.005 0.011 0.0 0.57469388 2.85361265 0.0 0.0 0
1 0.05 0.005 0.0111 0.0 0.57991837 2.85099465 0.0 0.0 0
1 0.05 0.005 0.0112 0.0 0.58514286 2.84837665 0.0 0.0 0
1 0.05 0.005 0.0113 0.0 0.59036735 2.84575865 0.0 0.0 0
1 0.05 0.005 0.0114 0.0 0.59559184 2.84314065 0.0 0.0 0
